FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
hex2dec.exe,0,0.0,29936,0,0,2770,3,162229,0,122880,1048576,clean
hh.exe,28,6.1,8396,0,7360,892,4,54762,32832,9216,262144,clean
hkcmd.exe,0,0.0,131492,0,2952,20514,4,207260,0,45056,1048576,clean
HOSTNAME.EXE,28,6.1,6860,0,2080,1316,4,34618,33088,4608,262144,clean
hwrcomp.exe,28,6.1,31812,0,2056,1272,4,44208,33088,5632,262144,clean
hwrreg.exe,28,6.1,17164,0,162376,1248,4,238015,33088,165888,262144,clean
ibmpmsvc.exe,28,6.0,29732,0,1704,2352,3,96297,32768,4608,262144,clean
icacls.exe,28,6.1,23116,0,1976,1512,4,40535,33088,5120,262144,clean
icardagt.exe,28,8.0,551576,0,2100,6300,4,624888,33088,48640,1048576,clean
icsunattend.exe,28,6.1,11980,0,1776,960,4,75933,33088,4096,262144,clean
ie4uinit.exe,28,6.3,153028,0,523304,2244,5,730818,49472,542720,262144,clean
iecleanup.exe,28,6.3,74388,0,2104,11144,5,102347,33088,24576,262144,clean
iediagcmd.exe,28,0.0,260032,0,81544,81544,3,388576,34144,86016,1048576,clean
ieetwcollector.exe,28,6.3,107032,0,2216,11972,5,131683,49472,23040,262144,clean
IEExec.exe,28,0.0,14944,0,1504,1504,3,25623,1280,2048,1048576,clean
ieinstal.exe,28,6.3,58196,0,413904,1224,5,536387,49216,424960,262144,clean
ielowutil.exe,28,6.3,16720,0,208032,1116,5,244864,49472,213504,262144,clean
ieudinit.exe,28,6.0,30708,0,2128,1696,4,99455,33088,7680,262144,clean
ieUnatt.exe,28,6.3,111468,4076,2344,14916,5,127988,49472,28672,262144,clean
iexplore.exe,56,6.3,29000,0,775744,1256,6,855019,49216,781824,1048576,clean
iexpress.exe,28,6.3,70288,0,88016,11412,5,163288,33088,109568,262144,clean
igfxcfg.exe,0,0.0,489236,0,3656,57048,4,0,0,143360,1048576,clean
igfxext.exe,0,0.0,135804,0,13208,19782,4,224990,0,45056,1048576,clean
igfxpers.exe,0,0.0,112804,0,3056,17586,4,164221,0,32768,1048576,clean
igfxsrvc.exe,0,0.0,194364,0,33804,45576,4,277956,0,98304,1048576,clean
igfxtray.exe,0,0.0,112932,0,2340,18122,4,150494,0,36864,1048576,clean
igfxzoom.exe,0,0.0,140724,0,5744,34006,4,220316,0,53248,1048576,clean
igxpun.exe,28,0.0,320916,0,575456,51166,4,966539,0,647168,1048576,clean
iisreset.exe,28,6.1,12388,0,2056,904,4,63845,33088,4608,262144,clean
iisrstas.exe,28,6.1,21644,0,7040,1760,4,50403,33088,10752,262144,clean
iissetup.exe,28,6.1,176592,48514,2016,6076,4,252785,33088,16896,262144,clean
ilasm.exe,56,10.0,3514368,0,1588,3291340,5,303496,33088,69632,4194304,clean
ildasm.exe,56,10.0,1336140,0,2736,894276,5,534167,33088,61952,1048576,clean
ImagingDevices.exe,28,6.1,8916,0,76672,896,4,138192,33088,78848,262144,clean
imapi.exe,28,5.1,139924,0,4880,10804,3,182821,32768,16384,262144,clean
IMCCPHR.exe,28,6.1,88324,0,189472,2444,4,339015,33088,197632,262144,clean
IMEPADSV.EXE,28,6.1,109436,0,148216,14892,4,286538,33088,171008,262144,clean
IMJPDADM.EXE,28,6.1,13252,0,1504,1064,4,49720,33088,4096,262144,clean
IMJPDCT.EXE,28,6.1,166256,0,148344,35596,4,354613,33088,196608,262144,clean
